sample_a	sample_b	n	exact	compat	combn
PD53330a	PD70969b	95	0.4211	0.5053	0.9263
PD53330a	PD70970a	92	0.3587	0.5435	0.9022
PD53330a	PD70970b	95	0.3579	0.5474	0.9053
PD53330a	PD70971a	89	0.3483	0.4944	0.8427
PD53330a	PD70971b	93	0.3656	0.5161	0.8817
PD53330a	PD70971c	93	0.3548	0.4839	0.8387
PD53330a	PD70972a	94	0.3936	0.5000	0.8936
PD53330a	PD70972b	89	0.3820	0.5056	0.8876
PD53330a	PD70972c	90	0.4000	0.4889	0.8889
PD53330a	PD70973a	94	0.3936	0.5000	0.8936
PD53330a	PD70973b	92	0.4130	0.4783	0.8913
PD53330a	PD70974a	92	0.3587	0.5000	0.8587
PD53330a	PD70974b	94	0.3830	0.4894	0.8723
PD53330a	PD70974c	95	0.3474	0.5158	0.8632
PD53330a	PD70975a	87	0.3793	0.4943	0.8736
PD53330a	PD70975b	94	0.3723	0.5213	0.8936
PD53330a	PD70975c	94	0.3723	0.4681	0.8404
PD53330a	PD70976a	94	0.4255	0.4255	0.8511
PD53330a	PD70976b	94	0.4255	0.4255	0.8511
PD53330a	PD70976c	93	0.4301	0.4086	0.8387
PD53330a	PD70978a	94	0.4681	0.3511	0.8191
PD53330a	PD70980a	93	0.3226	0.5591	0.8817
PD53330a	PD70980c	91	0.3297	0.5604	0.8901
PD53330a	PD70981a	92	0.4348	0.4674	0.9022
PD53330a	PD70982a	94	0.3191	0.5426	0.8617
PD53330a	PD70982c	95	0.3368	0.5158	0.8526
PD53330a	PD70983a	94	0.3617	0.4681	0.8298
PD53330a	PD70984a	93	0.3871	0.4516	0.8387
PD53330a	PD70985a	91	0.3626	0.4945	0.8571
PD53330a	PD70985c	90	0.3667	0.4889	0.8556
PD53330a	PD70986a	89	0.3146	0.5169	0.8315
PD53330a	PD70986c	94	0.2872	0.5319	0.8191
PD53330a	PD70986d	94	0.2872	0.5319	0.8191
PD53330a	PD70987a	94	0.3617	0.4362	0.7979
PD53330b	PD53330c	95	1.0000	0.0000	1.0000
PD53330b	PD53331a	95	0.3684	0.4632	0.8316
PD53330b	PD53331b	95	0.3684	0.4632	0.8316
PD53330b	PD53332a	94	0.4149	0.4149	0.8298
PD53330b	PD53332b	95	0.4211	0.4421	0.8632
PD53330b	PD53332c	94	0.4043	0.4255	0.8298
PD53330b	PD53332d	94	0.4255	0.4362	0.8617
PD53330b	PD53332e	92	0.4239	0.4457	0.8696
PD53330b	PD53333a	95	0.4105	0.4947	0.9053
PD53330b	PD53333b	94	0.4043	0.5106	0.9149
PD53330b	PD53333c	94	0.4149	0.5000	0.9149
PD53330b	PD53333d	94	0.4043	0.5000	0.9043
PD53330b	PD53333e	94	0.4149	0.5000	0.9149
PD53330b	PD53333f	93	0.3978	0.5161	0.9140
PD53330b	PD53334a	95	0.4105	0.4105	0.8211
PD53330b	PD53334b	95	0.4105	0.4105	0.8211
PD53330b	PD53335a	94	0.3830	0.4255	0.8085
PD53330b	PD53335b	95	0.3474	0.5368	0.8842
PD53330b	PD53335c	93	0.3763	0.4409	0.8172
PD53330b	PD53335d	95	0.3789	0.4421	0.8211
PD53330b	PD53335e	85	0.4000	0.4353	0.8353
PD53330b	PD53336a	95	0.4316	0.4632	0.8947
PD53330b	PD53336c	94	0.4255	0.4468	0.8723
PD53330b	PD53336d	94	0.4255	0.4468	0.8723
PD53330b	PD53336e	94	0.4255	0.4468	0.8723
PD53330b	PD53336f	93	0.4301	0.4731	0.9032
PD53330b	PD53336l	93	0.4301	0.4839	0.9140
PD53330b	PD53337a	95	0.4526	0.4421	0.8947
PD53330b	PD53337b	95	0.4526	0.4421	0.8947
PD53330b	PD53337c	95	0.4526	0.4421	0.8947
PD53330b	PD53338a	94	0.4043	0.4043	0.8085
PD53330b	PD53338b	95	0.4105	0.4000	0.8105
PD53330b	PD53339a	95	0.5053	0.4000	0.9053
PD53330b	PD53339b	95	0.5053	0.4000	0.9053
PD53330b	PD53340a	95	0.3789	0.4947	0.8737
PD53330b	PD53341a	93	0.3226	0.5591	0.8817
PD53330b	PD53341b	93	0.3226	0.5591	0.8817
PD53330b	PD53342a	95	0.4421	0.5053	0.9474
PD53330b	PD53342b	95	0.4421	0.5053	0.9474
PD53330b	PD53343a	95	0.3263	0.5474	0.8737
PD53330b	PD53343b	92	0.3261	0.5543	0.8804
PD53330b	PD53343c	91	0.3407	0.5275	0.8681
PD53330b	PD53343d	95	0.3263	0.5474	0.8737
PD53330b	PD53343e	95	0.3263	0.5474	0.8737
PD53330b	PD53343f	95	0.3263	0.5474	0.8737
PD53330b	PD53343g	93	0.3333	0.5376	0.8710
PD53330b	PD53343h	94	0.3404	0.5426	0.8830
PD53330b	PD53343i	93	0.3333	0.5484	0.8817
PD53330b	PD53343j	93	0.3333	0.5484	0.8817
PD53330b	PD53343k	83	0.3735	0.5060	0.8795
PD53330b	PD53344a	94	0.3830	0.4681	0.8511
PD53330b	PD53344c	94	0.3830	0.4681	0.8511
PD53330b	PD53344d	93	0.3763	0.4731	0.8495
PD53330b	PD53344e	93	0.3656	0.4839	0.8495
PD53330b	PD53344f	90	0.4111	0.4667	0.8778
PD53330b	PD53344l	94	0.3617	0.5000	0.8617
PD53330b	PD53345a	92	0.2826	0.5217	0.8043
PD53330b	PD53345b	95	0.2947	0.5158	0.8105
PD53330b	PD53346a	94	0.4787	0.4255	0.9043
PD53330b	PD53346b	95	0.4737	0.4316	0.9053
PD53330b	PD53347a	94	0.3830	0.5106	0.8936
PD53330b	PD53347b	95	0.3684	0.5579	0.9263
PD53330b	PD53347c	88	0.3523	0.5682	0.9205
PD53330b	PD53348a	92	0.4239	0.4891	0.9130
PD53330b	PD53348b	95	0.4421	0.4737	0.9158
PD53330b	PD53349a	92	0.3913	0.4348	0.8261
PD53330b	PD53349b	94	0.3723	0.4787	0.8511
PD53330b	PD53349c	95	0.3895	0.4421	0.8316
PD53330b	PD53349d	90	0.3667	0.4778	0.8444
PD53330b	PD53349e	92	0.3696	0.4783	0.8478
PD53330b	PD53349f	92	0.3696	0.4565	0.8261
PD53330b	PD53350a	93	0.3871	0.4839	0.8710
PD53330b	PD53350b	95	0.3789	0.4947	0.8737
PD53330b	PD53350c	94	0.3830	0.4787	0.8617
PD53330b	PD53350d	93	0.3763	0.4946	0.8710
PD53330b	PD53350e	94	0.3723	0.5000	0.8723
PD53330b	PD53350f	88	0.3750	0.5000	0.8750
PD53330b	PD53351a	92	0.4239	0.3913	0.8152
PD53330b	PD53351b	95	0.4316	0.3895	0.8211
PD53330b	PD53352a	95	0.3579	0.5368	0.8947
PD53330b	PD53352b	95	0.3895	0.5053	0.8947
PD53330b	PD53352c	95	0.3579	0.5368	0.8947
PD53330b	PD53352d	88	0.3523	0.5341	0.8864
PD53330b	PD53352e	93	0.3763	0.5161	0.8925
PD53330b	PD53353a	95	0.4526	0.4632	0.9158
PD53330b	PD53353b	95	0.4526	0.4632	0.9158
PD53330b	PD53354a	95	0.3158	0.5789	0.8947
PD53330b	PD53354b	95	0.3158	0.5789	0.8947
PD53330b	PD53355a	93	0.3656	0.4839	0.8495
PD53330b	PD53355b	95	0.3158	0.5789	0.8947
PD53330b	PD53355c	89	0.3371	0.5506	0.8876
PD53330b	PD53356a	93	0.3763	0.4731	0.8495
PD53330b	PD53356c	94	0.3936	0.5000	0.8936
PD53330b	PD53357a	94	0.3404	0.4681	0.8085
PD53330b	PD53357b	95	0.3474	0.4632	0.8105
PD53330b	PD53357c	92	0.3478	0.4565	0.8043
PD53330b	PD53357d	93	0.3441	0.4624	0.8065
PD53330b	PD53357e	89	0.3596	0.4382	0.7978
PD53330b	PD53358a	89	0.3483	0.5056	0.8539
PD53330b	PD53358b	95	0.3789	0.4842	0.8632
PD53330b	PD53359a	94	0.2979	0.5213	0.8191
PD53330b	PD53359b	95	0.3474	0.5368	0.8842
PD53330b	PD53359c	89	0.3034	0.5169	0.8202
PD53330b	PD53360a	95	0.4211	0.5158	0.9368
PD53330b	PD53361a	93	0.4516	0.4301	0.8817
PD53330b	PD53361b	94	0.4468	0.4362	0.8830
PD53330b	PD53362a	94	0.2979	0.5319	0.8298
PD53330b	PD53362b	95	0.2947	0.5368	0.8316
PD53330b	PD53363a	95	0.4211	0.4632	0.8842
PD53330b	PD53363b	95	0.4211	0.4632	0.8842
PD53330b	PD53364a	94	0.4043	0.4362	0.8404
PD53330b	PD53364b	95	0.3895	0.5053	0.8947
PD53330b	PD53364c	92	0.4022	0.4891	0.8913
PD53330b	PD53365a	90	0.4556	0.4000	0.8556
PD53330b	PD53365b	93	0.4839	0.3763	0.8602
PD53330b	PD53366a	95	0.3895	0.4632	0.8526
PD53330b	PD53366b	95	0.3895	0.4632	0.8526
PD53330b	PD53367a	94	0.4894	0.3830	0.8723
PD53330b	PD53367b	95	0.4947	0.3789	0.8737
PD53330b	PD53368a	89	0.3034	0.5843	0.8876
PD53330b	PD53368b	95	0.3158	0.5789	0.8947
PD53330b	PD53369a	93	0.3226	0.5591	0.8817
PD53330b	PD53369b	95	0.3263	0.5579	0.8842
PD53330b	PD70589a	90	0.4333	0.4556	0.8889
PD53330b	PD70963a	93	0.3226	0.5376	0.8602
PD53330b	PD70963b	92	0.3370	0.5326	0.8696
PD53330b	PD70964a	87	0.3448	0.5517	0.8966
PD53330b	PD70964b	90	0.3667	0.5444	0.9111
PD53330b	PD70964c	92	0.3478	0.5543	0.9022
PD53330b	PD70965a	90	0.4444	0.4778	0.9222
PD53330b	PD70965b	94	0.4255	0.5000	0.9255
PD53330b	PD70966a	94	0.4574	0.4255	0.8830
PD53330b	PD70966c	89	0.4494	0.4270	0.8764
PD53330b	PD70967a	89	0.3258	0.5281	0.8539
PD53330b	PD70967b	95	0.3158	0.5474	0.8632
PD53330b	PD70968a	94	0.5000	0.3936	0.8936
PD53330b	PD70968b	94	0.5319	0.3830	0.9149
PD53330b	PD70968c	95	0.5158	0.3789	0.8947
PD53330b	PD70969a	91	0.4396	0.4945	0.9341
PD53330b	PD70969b	95	0.4316	0.4947	0.9263
PD53330b	PD70970a	92	0.3696	0.5326	0.9022
PD53330b	PD70970b	95	0.3684	0.5368	0.9053
PD53330b	PD70971a	89	0.3483	0.5056	0.8539
PD53330b	PD70971b	93	0.3763	0.5054	0.8817
PD53330b	PD70971c	93	0.3548	0.4946	0.8495
PD53330b	PD70972a	94	0.4043	0.4894	0.8936
PD53330b	PD70972b	89	0.3933	0.4944	0.8876
PD53330b	PD70972c	90	0.4111	0.4778	0.8889
PD53330b	PD70973a	94	0.4043	0.4894	0.8936
PD53330b	PD70973b	92	0.4239	0.4674	0.8913
PD53330b	PD70974a	92	0.3587	0.5000	0.8587
PD53330b	PD70974b	94	0.3936	0.4787	0.8723
PD53330b	PD70974c	95	0.3368	0.5263	0.8632
PD53330b	PD70975a	87	0.3793	0.5057	0.8851
PD53330b	PD70975b	94	0.3723	0.5319	0.9043
PD53330b	PD70975c	94	0.3723	0.4787	0.8511
PD53330b	PD70976a	94	0.4362	0.4149	0.8511
PD53330b	PD70976b	94	0.4362	0.4149	0.8511
PD53330b	PD70976c	93	0.4301	0.4086	0.8387
PD53330b	PD70978a	94	0.4681	0.3617	0.8298
PD53330b	PD70980a	93	0.3118	0.5699	0.8817
PD53330b	PD70980c	91	0.3187	0.5714	0.8901
PD53330b	PD70981a	92	0.4239	0.4783	0.9022
PD53330b	PD70982a	94	0.3191	0.5532	0.8723
PD53330b	PD70982c	95	0.3368	0.5263	0.8632
PD53330b	PD70983a	94	0.3617	0.4787	0.8404
PD53330b	PD70984a	93	0.3978	0.4409	0.8387
PD53330b	PD70985a	91	0.3626	0.5055	0.8681
PD53330b	PD70985c	90	0.3667	0.5000	0.8667
PD53330b	PD70986a	89	0.3146	0.5169	0.8315
PD53330b	PD70986c	94	0.2872	0.5426	0.8298
PD53330b	PD70986d	94	0.2872	0.5426	0.8298
PD53330b	PD70987a	94	0.3511	0.4468	0.7979
PD53330c	PD53331a	95	0.3684	0.4632	0.8316
PD53330c	PD53331b	95	0.3684	0.4632	0.8316
PD53330c	PD53332a	94	0.4149	0.4149	0.8298
PD53330c	PD53332b	95	0.4211	0.4421	0.8632
PD53330c	PD53332c	94	0.4043	0.4255	0.8298
PD53330c	PD53332d	94	0.4255	0.4362	0.8617
PD53330c	PD53332e	92	0.4239	0.4457	0.8696
PD53330c	PD53333a	95	0.4105	0.4947	0.9053
PD53330c	PD53333b	94	0.4043	0.5106	0.9149
PD53330c	PD53333c	94	0.4149	0.5000	0.9149
